Algorithm,Cycle,Quality,BPP,PSNR,BD-rate
JPEG,N/A,10,0.32658894856770837,26.67182159423828,
JPEG,N/A,30,0.6597925821940104,30.491470336914062,
JPEG,N/A,50,0.9055209689670138,32.1738166809082,
JPEG,N/A,70,1.2387576633029516,33.916748046875,
JPEG,N/A,90,2.3463228013780384,38.033973693847656,
CRDR,First,0.0,0.10949028862847221,27.185684204101562,-54.90%
CRDR,Second,0.0,0.10505167643229167,26.434518814086914,-48.23%
CRDR,Third,0.0,0.103057861328125,25.90138816833496,-41.59%
CRDR,Fourth,0.0,0.10191853841145833,25.495519638061523,-35.64%
CRDR,First,1.0,0.204345703125,29.234933853149414,-54.90%
CRDR,Second,1.0,0.20014784071180558,28.44435691833496,-48.23%
CRDR,Third,1.0,0.19842190212673613,27.88797950744629,-41.59%
CRDR,Fourth,1.0,0.19768608940972224,27.4653263092041,-35.64%
CRDR,First,2.0,0.40242852105034715,31.814550399780273,-54.90%
CRDR,Second,2.0,0.3984578450520833,31.041168212890625,-48.23%
CRDR,Third,2.0,0.39713202582465273,30.490327835083008,-41.59%
CRDR,Fourth,2.0,0.3967556423611111,30.03373146057129,-35.64%
CRDR,First,3.0,0.732876247829861,34.63837814331055,-54.90%
CRDR,Second,3.0,0.728908962673611,33.78172302246094,-48.23%
CRDR,Third,3.0,0.728725857204861,33.139156341552734,-41.59%
CRDR,Fourth,3.0,0.7290547688802084,32.58909606933594,-35.64%
CRDR,First,4.0,1.0503336588541667,36.30288314819336,-54.90%
CRDR,Second,4.0,1.0500895182291667,35.18931579589844,-48.23%
CRDR,Third,4.0,1.0532667371961806,34.323150634765625,-41.59%
CRDR,Fourth,4.0,1.056148952907986,33.54856491088867,-35.64%
