image,dst_idx,dst_type,dst_lev,dmos
I01.png,1,gblur,1,4.57
I01.png,1,gblur,2,4.33
I01.png,1,gblur,3,2.67
I01.png,1,gblur,4,1.67
I01.png,1,gblur,5,1.1
I01.png,2,lbur,1,3.83
I01.png,2,lbur,2,2.27
I01.png,2,lbur,3,1.53
I01.png,2,lbur,4,1.23
I01.png,2,lbur,5,1.2
I01.png,3,mblur,1,4.73
I01.png,3,mblur,2,3.97
I01.png,3,mblur,3,2.7
I01.png,3,mblur,4,2.03
I01.png,3,mblur,5,1.5
I01.png,4,color_diffusion,1,4.73
I01.png,4,color_diffusion,2,2.17
I01.png,4,color_diffusion,3,1.37
I01.png,4,color_diffusion,4,1.5
I01.png,4,color_diffusion,5,1.47
I01.png,5,color_shift,1,4.0
I01.png,5,color_shift,2,2.2
I01.png,5,color_shift,3,1.57
I01.png,5,color_shift,4,1.33
I01.png,5,color_shift,5,1.6
I01.png,6,color_quantization,1,4.23
I01.png,6,color_quantization,2,4.4
I01.png,6,color_quantization,3,3.9
I01.png,6,color_quantization,4,2.9
I01.png,6,color_quantization,5,2.27
I01.png,7,color_saturation1,1,2.73
I01.png,7,color_saturation1,2,2.5
I01.png,7,color_saturation1,3,2.27
I01.png,7,color_saturation1,4,2.47
I01.png,7,color_saturation1,5,2.2
I01.png,8,color_saturation2,1,4.7
I01.png,8,color_saturation2,2,3.77
I01.png,8,color_saturation2,3,2.73
I01.png,8,color_saturation2,4,1.97
I01.png,8,color_saturation2,5,1.67
I01.png,9,jpeg2000,1,4.6
I01.png,9,jpeg2000,2,4.67
I01.png,9,jpeg2000,3,4.4
I01.png,9,jpeg2000,4,2.9
I01.png,9,jpeg2000,5,1.37
I01.png,10,jpeg,1,4.37
I01.png,10,jpeg,2,3.93
I01.png,10,jpeg,3,3.77
I01.png,10,jpeg,4,1.58
I01.png,10,jpeg,5,1.17
I01.png,11,white_noise,1,4.03
I01.png,11,white_noise,2,3.27
I01.png,11,white_noise,3,2.67
I01.png,11,white_noise,4,2.27
I01.png,11,white_noise,5,2.37
I01.png,12,white_noise_color,1,4.43
I01.png,12,white_noise_color,2,3.7
I01.png,12,white_noise_color,3,2.77
I01.png,12,white_noise_color,4,2.37
I01.png,12,white_noise_color,5,1.97
I01.png,13,impulse_noise,1,3.67
I01.png,13,impulse_noise,2,2.87
I01.png,13,impulse_noise,3,2.6
I01.png,13,impulse_noise,4,2.07
I01.png,13,impulse_noise,5,2.03
I01.png,14,multiplicative_noise,1,4.57
I01.png,14,multiplicative_noise,2,3.57
I01.png,14,multiplicative_noise,3,3.13
I01.png,14,multiplicative_noise,4,2.5
I01.png,14,multiplicative_noise,5,2.27
I01.png,15,denoise,1,3.57
I01.png,15,denoise,2,2.63
I01.png,15,denoise,3,1.77
I01.png,15,denoise,4,1.4
I01.png,15,denoise,5,1.33
I01.png,16,brighten,1,4.37
