image,dist_idx,dst_type,dst_ord,dst_lev,dmos
bikes.bmp,1,jpeg,1,0.20876,56.82089940310144
bikes.bmp,1,jpeg,2,0.22872,55.940063916423995
bikes.bmp,1,jpeg,3,0.30737,63.22821648316846
bikes.bmp,1,jpeg,4,0.42552,56.02031619077877
bikes.bmp,1,jpeg,5,0.56447,49.05615490510982
bikes.bmp,1,jpeg,6,1.0323,30.3960122439865
bikes.bmp,1,jpeg,7,1.4875,25.44282492050957
building2.bmp,1,jpeg,1,0.26018,60.59222184804797
building2.bmp,1,jpeg,2,0.28835,58.5077181327665
building2.bmp,1,jpeg,3,0.39385,68.81582729779525
building2.bmp,1,jpeg,4,0.39385,66.06308108895072
building2.bmp,1,jpeg,5,0.64297,50.91458216680612
building2.bmp,1,jpeg,6,1.1092,32.4893858610105
building2.bmp,1,jpeg,7,2.0938,25.732981771905134
buildings.bmp,1,jpeg,1,0.24723,59.01313652905887
buildings.bmp,1,jpeg,2,0.26731,58.27189658802589
buildings.bmp,1,jpeg,3,0.58384,47.79653010779907
buildings.bmp,1,jpeg,4,0.58384,51.01535769470311
buildings.bmp,1,jpeg,5,0.58384,48.20131912049039
buildings.bmp,1,jpeg,6,1.0394,30.40910849956548
buildings.bmp,1,jpeg,7,1.7772,22.915712075825788
caps.bmp,1,jpeg,1,0.15312,60.069537201696626
caps.bmp,1,jpeg,2,0.15312,59.85684396834845
caps.bmp,1,jpeg,3,0.1993,49.85666308799925
caps.bmp,1,jpeg,4,0.40535,40.20037531558981
caps.bmp,1,jpeg,5,0.42483,42.874483145017024
caps.bmp,1,jpeg,6,0.85118,28.307801062720873
carnivaldolls.bmp,1,jpeg,1,0.20726,59.197872403677
carnivaldolls.bmp,1,jpeg,2,0.3273,65.92309095733728
carnivaldolls.bmp,1,jpeg,3,0.3273,65.70767925324277
carnivaldolls.bmp,1,jpeg,4,1.0085,26.954088129242155
carnivaldolls.bmp,1,jpeg,5,2.5748,22.427797517937464
cemetry.bmp,1,jpeg,1,0.21773,57.24972197729394
cemetry.bmp,1,jpeg,2,0.30013,69.45204261392958
cemetry.bmp,1,jpeg,3,0.30013,69.18511018899825
cemetry.bmp,1,jpeg,4,0.53292,41.49997147178339
cemetry.bmp,1,jpeg,5,0.85407,42.18685408278848
cemetry.bmp,1,jpeg,6,1.5697,28.52528489057023
churchandcapitol.bmp,1,jpeg,1,0.21903,62.49964418626532
churchandcapitol.bmp,1,jpeg,2,0.29125,79.63200139873037
churchandcapitol.bmp,1,jpeg,3,0.57502,53.818664170538256
churchandcapitol.bmp,1,jpeg,4,0.83865,42.18605088354612
churchandcapitol.bmp,1,jpeg,5,1.6916,22.645234717415967
coinsinfountain.bmp,1,jpeg,1,0.18796,60.2993891488666
coinsinfountain.bmp,1,jpeg,2,0.18796,59.50052273961641
coinsinfountain.bmp,1,jpeg,3,0.25896,52.84704264933621
coinsinfountain.bmp,1,jpeg,4,0.46101,44.56841486707733
coinsinfountain.bmp,1,jpeg,5,0.58801,41.94637326127812
coinsinfountain.bmp,1,jpeg,6,1.8247,26.45959904623459
dancers.bmp,1,jpeg,1,0.24753,58.7879445095596
dancers.bmp,1,jpeg,2,0.24753,59.859053210954166
dancers.bmp,1,jpeg,3,0.43061,60.57822644571531
dancers.bmp,1,jpeg,4,0.60116,54.04967815819876
dancers.bmp,1,jpeg,5,1.2678,34.14049053294782
dancers.bmp,1,jpeg,6,2.6988,25.77050586046477
flowersonih35.bmp,1,jpeg,1,0.27056,80.88636722069373
flowersonih35.bmp,1,jpeg,2,0.46309,51.038266406548644
flowersonih35.bmp,1,jpeg,3,0.50574,51.40118852850061
flowersonih35.bmp,1,jpeg,4,0.92722,43.0162175344564
flowersonih35.bmp,1,jpeg,5,1.769,25.005853431257847
flowersonih35.bmp,1,jpeg,6,2.9792,23.473046983979113
house.bmp,1,jpeg,1,0.15798,64.17863284396779
house.bmp,1,jpeg,2,0.15798,61.715141783360664
house.bmp,1,jpeg,3,0.28831,58.66222271567119
house.bmp,1,jpeg,4,0.32699,54.700999698833805
