Image,Cycle_1,Cycle_2,Cycle_3,Cycle_4,Cycle_5,Cycle_6,Cycle_7
0001.png,384821,369828,369828,369828,369828,369828,369828
0002.png,68382,24949,24949,24949,24949,24949,24949
0003.png,335528,296099,296099,296099,296099,296099,296099
0004.png,477000,439827,439827,439827,439827,439827,439827
0005.png,635816,579625,579625,579625,579625,579625,579625
0006.png,609435,590676,590676,590676,590676,590676,590676
0007.png,3779,45935,45935,45935,45935,45935,45935
0008.png,207312,173280,173280,173280,173280,173280,173280
0009.png,304067,220689,220689,220689,220689,220689,220689
0010.png,189454,204477,204477,204477,204477,204477,204477
0011.png,426057,409945,409945,409945,409945,409945,409945
0012.png,385324,363013,363013,363013,363013,363013,363013
0013.png,752726,732166,732166,732166,732166,732166,732166
0014.png,2567804,2471082,2471082,2471082,2471082,2471082,2471082
0015.png,243607,210070,210070,210070,210070,210070,210070
0016.png,107834,68323,68323,68323,68323,68323,68323
0017.png,374345,344554,344554,344554,344554,344554,344554
0018.png,1294227,1266997,1266997,1266997,1266997,1266997,1266997
0019.png,497673,472075,472075,472075,472075,472075,472075
0020.png,577136,544437,544437,544437,544437,544437,544437
0021.png,306453,280061,280061,280061,280061,280061,280061
0022.png,4457,53683,53683,53683,53683,53683,53683
0023.png,489516,488994,488994,488994,488994,488994,488994
0024.png,6534,53345,53345,53345,53345,53345,53345
0025.png,198168,172642,172642,172642,172642,172642,172642
0026.png,806,31409,31409,31409,31409,31409,31409
0027.png,766099,754563,754563,754563,754563,754563,754563
0028.png,295495,231986,231986,231986,231986,231986,231986
0029.png,87182,30406,30406,30406,30406,30406,30406
0030.png,49603,85410,85410,85410,85410,85410,85410
0031.png,525635,498112,498112,498112,498112,498112,498112
0032.png,380782,334545,334545,334545,334545,334545,334545
0033.png,453829,417881,417881,417881,417881,417881,417881
0034.png,671034,627166,627166,627166,627166,627166,627166
0035.png,653684,631146,631146,631146,631146,631146,631146
0036.png,305905,226047,226047,226047,226047,226047,226047
0037.png,326651,251500,251500,251500,251500,251500,251500
0038.png,377361,335194,335194,335194,335194,335194,335194
0039.png,52942,1836,1836,1836,1836,1836,1836
0040.png,339583,315835,315835,315835,315835,315835,315835
0041.png,390129,331517,331517,331517,331517,331517,331517
0042.png,331726,283604,283604,283604,283604,283604,283604
0043.png,692911,662983,662983,662983,662983,662983,662983
0044.png,1143761,1127406,1127406,1127406,1127406,1127406,1127406
0045.png,487067,449121,449121,449121,449121,449121,449121
0046.png,385762,360878,360878,360878,360878,360878,360878
0047.png,176501,115735,115735,115735,115735,115735,115735
0048.png,333811,448929,448929,448929,448929,448929,448929
0049.png,218065,186466,186466,186466,186466,186466,186466
0050.png,158910,109408,109408,109408,109408,109408,109408
0051.png,218975,170050,170050,170050,170050,170050,170050
0052.png,255941,197880,197880,197880,197880,197880,197880
0053.png,375893,336043,336043,336043,336043,336043,336043
0054.png,273849,256140,256140,256140,256140,256140,256140
0055.png,690542,666593,666593,666593,666593,666593,666593
0056.png,558194,514992,514992,514992,514992,514992,514992
0057.png,366978,326312,326312,326312,326312,326312,326312
0058.png,313398,288010,288010,288010,288010,288010,288010
0059.png,33335,95260,95260,95260,95260,95260,95260
0060.png,269013,222873,222873,222873,222873,222873,222873
0061.png,782092,732177,732177,732177,732177,732177,732177
0062.png,210782,129463,129463,129463,129463,129463,129463
0063.png,141842,117046,117046,117046,117046,117046,117046
