Image Name,PNG Size,CRDR Beta 0.0,CRDR Beta 0.64,CRDR Beta 1.28,CRDR Beta 2.56,CRDR Beta 3.84,CRDR Beta 5.12,HiFiC-Med,Hyperprior,JPEG Quality 70,JPEG Quality 50,MRIC Beta 0.0,MRIC Beta 2.56
FID,,1.8686056097279788,1.621724773911751,1.5921561056380256,1.5561374285111924,1.5506665994041668,1.5500635298965904,3.196035963690349,8.315811449181751,0.6622650031523563,1.271477098920002,20.895057558688904,19.80538730822252
0001.png,4929207.0,4095407.0,4384424.0,4439808.0,4597177.0,4781789.0,4971090.0,4564621.0,3824702.0,4256578.0,3934441.0,4488913.0,5163939.0
0002.png,7048839.0,5555083.0,6131358.0,6233836.0,6494621.0,6756271.0,7011888.0,6127964.0,4779411.0,5421602.0,4850408.0,6019516.0,7639657.0
0003.png,5222581.0,4576063.0,4830285.0,4890644.0,5062445.0,5250357.0,5435529.0,4841908.0,4185470.0,4731197.0,4392773.0,5090679.0,5954390.0
0004.png,3022175.0,2288775.0,2806820.0,2872472.0,3048851.0,3223098.0,3394213.0,3005551.0,2023089.0,1875432.0,1560207.0,3415729.0,3949485.0
0005.png,5943950.0,4486458.0,4994348.0,5098722.0,5379956.0,5713532.0,6036526.0,5276640.0,4171628.0,4385657.0,3728022.0,5298089.0,6299728.0
0006.png,3604956.0,2696383.0,3290385.0,3370927.0,3569937.0,3761383.0,3946794.0,3636437.0,2473309.0,2739968.0,2231114.0,3768982.0,4367930.0
0007.png,5895060.0,5068342.0,5337455.0,5395888.0,5555784.0,5739482.0,5891596.0,5276807.0,4477726.0,5328940.0,4936578.0,5159006.0,6451625.0
0008.png,4852578.0,3748735.0,4120916.0,4196176.0,4413410.0,4646661.0,4859857.0,4369573.0,3506224.0,3964702.0,3589543.0,4666924.0,5393565.0
0009.png,5688115.0,4577388.0,5007927.0,5084862.0,5296771.0,5533628.0,5770804.0,5179210.0,4124308.0,4790831.0,4312488.0,4799640.0,5760201.0
0010.png,6088550.0,4354329.0,5000323.0,5107132.0,5380676.0,5653720.0,5897236.0,5210761.0,3864250.0,4344796.0,3682723.0,5085554.0,6063772.0
0011.png,4943449.0,4292168.0,4491648.0,4541271.0,4682803.0,4836470.0,4996602.0,4643295.0,4115397.0,4525976.0,4219824.0,5115313.0,5656826.0
0012.png,4590581.0,3739184.0,4057971.0,4121894.0,4296783.0,4485681.0,4658116.0,4322260.0,3585082.0,3899455.0,3562362.0,4696770.0,5238191.0
0013.png,2230246.0,1787997.0,2266738.0,2305993.0,2431830.0,2556501.0,2669736.0,2406959.0,1407541.0,1071015.0,1004697.0,3066155.0,3237738.0
0014.png,2762844.0,3685578.0,4160082.0,4240603.0,4449889.0,4658270.0,4834429.0,4443650.0,3050701.0,2525051.0,2412141.0,4385191.0,5576822.0
0015.png,4954769.0,4198662.0,4432646.0,4479253.0,4608407.0,4772374.0,4956644.0,4609036.0,4021797.0,4394376.0,4176730.0,5036819.0,5650307.0
0016.png,4800934.0,3749874.0,4117993.0,4183546.0,4366007.0,4563414.0,4755624.0,4311578.0,3461050.0,4085719.0,3639033.0,4515133.0,5297961.0
0017.png,4360933.0,3425594.0,3809897.0,3871368.0,4062851.0,4275183.0,4448319.0,4008051.0,3126732.0,2953032.0,2648759.0,4260027.0,5091872.0
0018.png,3409250.0,3197366.0,3478784.0,3539716.0,3726856.0,3935533.0,4176052.0,3779334.0,3032947.0,3128784.0,2846598.0,4302796.0,4773733.0
0019.png,5857044.0,5164620.0,5424698.0,5490486.0,5676335.0,5894514.0,6107593.0,5607071.0,4675848.0,5277882.0,4834049.0,4895772.0,6048069.0
0020.png,3717167.0,2644024.0,3202760.0,3286294.0,3521427.0,3760434.0,3959589.0,3554728.0,2456886.0,2288462.0,1975950.0,3762665.0,4128082.0
0021.png,2255114.0,1714820.0,1947852.0,1986321.0,2100860.0,2238694.0,2383580.0,2118660.0,1588973.0,1629931.0,1485296.0,2084138.0,2407178.0
0022.png,3877318.0,3272021.0,3481274.0,3524824.0,3639972.0,3771467.0,3897185.0,3475534.0,2918879.0,3155462.0,2875181.0,3428021.0,4147261.0
0023.png,2845044.0,2048160.0,2497122.0,2560034.0,2732609.0,2891097.0,3042626.0,2745702.0,1869079.0,1525816.0,1262083.0,3233509.0,3503997.0
0024.png,4713927.0,3157619.0,3720004.0,3813723.0,4112401.0,4374003.0,4581829.0,4277385.0,2970118.0,3758431.0,3351493.0,4258214.0,5035041.0
0025.png,3971135.0,2829151.0,3282808.0,3358724.0,3581021.0,3829507.0,4029408.0,3560107.0,2427800.0,2995241.0,2490607.0,3248220.0,4244346.0
0026.png,6940526.0,6287789.0,6464606.0,6508499.0,6643467.0,6789971.0,6924129.0,6116677.0,5716372.0,6861112.0,6691086.0,5876081.0,6769761.0
0027.png,4159845.0,3240865.0,3829916.0,3902103.0,4070543.0,4241211.0,4436939.0,3941453.0,2970570.0,2932301.0,2391195.0,4521672.0,5122288.0
0028.png,6170913.0,4038784.0,5044189.0,5181258.0,5527469.0,5864801.0,6158655.0,5468374.0,3614715.0,4225317.0,3475660.0,5303891.0,6129026.0
0029.png,6413599.0,5549720.0,5779447.0,5838299.0,6003194.0,6186697.0,6340577.0,5680091.0,5144512.0,5943786.0,5599781.0,6086032.0,6925762.0
0030.png,4519333.0,3464889.0,3813515.0,3880170.0,4073565.0,4302213.0,4501129.0,3971052.0,3102847.0,3780575.0,3410129.0,3611998.0,4454419.0
0031.png,4790701.0,4097616.0,4340996.0,4394457.0,4545564.0,4717020.0,4904394.0,4435911.0,3796579.0,4045508.0,3586795.0,4908478.0,5768298.0
0032.png,3499056.0,2587429.0,3092638.0,3167717.0,3379972.0,3599269.0,3809775.0,3326820.0,2250385.0,2118781.0,1768408.0,3564760.0,4387314.0
0033.png,4098622.0,3485194.0,3776485.0,3832816.0,3986044.0,4142032.0,4311948.0,3849069.0,3127978.0,3331766.0,3036596.0,4650151.0,4987671.0
0034.png,5043855.0,4365256.0,4628079.0,4688059.0,4857804.0,5057096.0,5277761.0,4755177.0,4117472.0,4496155.0,4174237.0,5224058.0,5949415.0
0035.png,4645700.0,3942460.0,4281804.0,4345117.0,4522069.0,4708840.0,4891120.0,4307287.0,3514801.0,3479804.0,3057743.0,4830860.0,5617115.0
0036.png,3742141.0,2476943.0,3156335.0,3231111.0,3423050.0,3623678.0,3825780.0,3418382.0,2279527.0,1820844.0,1484701.0,3598613.0,3973517.0
0037.png,3971574.0,2775791.0,3318781.0,3392637.0,3584908.0,3750931.0,3896612.0,3617233.0,2633697.0,2708998.0,2384611.0,3795306.0,4366212.0
0038.png,4368752.0,3445662.0,3678939.0,3734408.0,3903663.0,4122478.0,4363464.0,4060850.0,3470260.0,3768582.0,3499528.0,4305220.0,4554765.0
0039.png,4501839.0,3388545.0,3816387.0,3879101.0,4058361.0,4267076.0,4470830.0,3993984.0,2986448.0,3194194.0,2789366.0,4248943.0,5061319.0
0040.png,3332396.0,1842469.0,2639676.0,2718220.0,2924676.0,3137644.0,3351460.0,2899653.0,1207183.0,1159049.0,696298.0,3072158.0,3657127.0
0041.png,4406294.0,2698030.0,3596966.0,3730356.0,4054316.0,4345786.0,4571130.0,4000079.0,2297002.0,2787218.0,2294682.0,3989349.0,5020495.0
0042.png,4796969.0,3963022.0,4366898.0,4443432.0,4640567.0,4839414.0,5038781.0,4428278.0,3518353.0,3635120.0,3131561.0,4515996.0,5322914.0
0043.png,3516033.0,3083776.0,3362668.0,3414196.0,3570189.0,3736472.0,3911570.0,3575879.0,2948734.0,2818505.0,2527224.0,4243718.0,4551490.0
0044.png,6269578.0,5109657.0,5635235.0,5726477.0,6011407.0,6315401.0,6608023.0,6053652.0,4895980.0,5260260.0,4857918.0,5923418.0,6507679.0
0045.png,3506876.0,2966157.0,3167628.0,3207537.0,3326528.0,3468221.0,3641182.0,3356439.0,2885502.0,3004079.0,2723203.0,3896960.0,4481377.0
0046.png,4018117.0,3156154.0,3480512.0,3547134.0,3750488.0,3940362.0,4130586.0,3710925.0,2842978.0,2882824.0,2534705.0,3927020.0,4608503.0
0047.png,3845591.0,2592759.0,3079977.0,3156127.0,3358627.0,3574884.0,3815658.0,3420731.0,2411150.0,2286840.0,1944860.0,3881840.0,4282382.0
0048.png,3894075.0,2056645.0,2761548.0,2829046.0,3010916.0,3188147.0,3369706.0,3069465.0,1771223.0,1495116.0,997746.0,3425690.0,3746350.0
0049.png,4005670.0,3062684.0,3431247.0,3488495.0,3655933.0,3852688.0,4085444.0,3636898.0,2700566.0,2768256.0,2555841.0,4150616.0,4822775.0
0050.png,4149233.0,2485674.0,3168843.0,3270980.0,3544880.0,3829681.0,4093439.0,3589109.0,2249110.0,2332335.0,1874585.0,3768640.0,4506115.0
0051.png,4935250.0,4152054.0,4476417.0,4544856.0,4723056.0,4900116.0,5064170.0,4487931.0,3658306.0,4077127.0,3669658.0,4675664.0,5529281.0
0052.png,5443183.0,4722700.0,4947078.0,5005076.0,5169129.0,5378335.0,5606027.0,5100443.0,4430844.0,4876777.0,4439478.0,5369832.0,6286592.0
0053.png,4019447.0,3308047.0,3648272.0,3699102.0,3844533.0,4002235.0,4179707.0,3754754.0,2955035.0,3022188.0,2761651.0,4256697.0,4892137.0
0054.png,5532185.0,5083770.0,5188494.0,5221828.0,5303988.0,5393940.0,5491740.0,5010358.0,4834687.0,5382371.0,5266283.0,5297587.0,6081799.0
0055.png,2668982.0,1923466.0,2460955.0,2522334.0,2689933.0,2855941.0,3012123.0,2637738.0,1640589.0,1327821.0,1025739.0,2722296.0,3202140.0
0056.png,3928563.0,3246382.0,3589365.0,3640936.0,3790334.0,3967935.0,4176296.0,3718729.0,2989203.0,2722299.0,2433727.0,4445576.0,4955309.0
0057.png,2690408.0,2051902.0,2498401.0,2555978.0,2706727.0,2841186.0,2980203.0,2698292.0,1772321.0,1496943.0,1187832.0,3361211.0,3954456.0
0058.png,3638268.0,2623768.0,3022105.0,3096367.0,3295864.0,3489105.0,3684521.0,3315617.0,2483734.0,2445517.0,2133637.0,3825909.0,4181532.0
0059.png,5005554.0,3367035.0,4006517.0,4100578.0,4348989.0,4564459.0,4790271.0,4299022.0,2988691.0,3052211.0,2520968.0,4338097.0,5105572.0
0060.png,3915864.0,2865196.0,3352864.0,3425497.0,3589726.0,3755987.0,3934452.0,3607206.0,2547620.0,2677767.0,2229035.0,3606990.0,4168537.0
0061.png,4105715.0,3854171.0,4017077.0,4061320.0,4204375.0,4383843.0,4597333.0,4254781.0,3757877.0,3955964.0,3666520.0,5211232.0,5586992.0
0062.png,4517839.0,3537190.0,3982714.0,4055476.0,4248863.0,4464718.0,4670506.0,4057846.0,3009661.0,2623218.0,2260358.0,4032790.0,4980248.0
